Day,CloneID,Rep,Count,Contaminated
1,1.2,1,2,NA
1,1.2,2,0,NA
1,1.2,3,0,NA
1,1.2,4,0,NA
1,1.2,5,1,NA
1,1.2,6,0,NA
1,1.2,7,0,NA
1,1.2,8,1,NA
1,1.5,1,0,NA
1,1.5,2,0,NA
1,1.5,3,0,NA
1,1.5,4,0,NA
1,1.5,5,0,NA
1,1.5,6,1,NA
1,1.5,7,1,NA
1,1.5,8,2,NA
1,1.7,1,3,NA
1,1.7,2,0,NA
1,1.7,3,4,NA
1,1.7,4,1,NA
1,1.7,5,0,NA
1,1.7,6,0,NA
1,1.7,7,2,NA
1,1.7,8,1,NA
1,2.3,1,1,NA
1,2.3,2,1,NA
1,2.3,3,1,NA
1,2.3,4,3,NA
1,2.3,5,3,NA
1,2.3,6,3,NA
1,2.3,7,1,NA
1,2.3,8,3,NA
1,2.4,1,2,NA
1,2.4,2,3,NA
1,2.4,3,1,NA
1,2.4,4,3,NA
1,2.4,5,3,NA
1,2.4,6,1,NA
1,2.4,7,2,NA
1,2.4,8,3,NA
1,2.5,1,0,NA
1,2.5,2,0,NA
1,2.5,3,1,NA
1,2.5,4,0,NA
1,2.5,5,0,NA
1,2.5,6,0,NA
1,2.5,7,0,NA
1,2.5,8,1,NA
2,1.2,1,1,NA
2,1.2,2,15,NA
2,1.2,3,1,NA
2,1.2,4,1,NA
2,1.2,5,0,NA
2,1.2,6,0,NA
2,1.2,7,0,NA
2,1.2,8,1,NA
2,1.5,1,2,NA
2,1.5,2,12,NA
2,1.5,3,2,NA
2,1.5,4,1,NA
2,1.5,5,1,NA
2,1.5,6,2,NA
2,1.5,7,1,NA
2,1.5,8,3,NA
2,1.7,1,3,NA
2,1.7,2,9,NA
2,1.7,3,0,NA
2,1.7,4,2,NA
2,1.7,5,3,NA
2,1.7,6,1,NA
2,1.7,7,1,NA
2,1.7,8,3,NA
2,2.3,1,2,NA
2,2.3,2,2,NA
2,2.3,3,2,NA
2,2.3,4,4,NA
2,2.3,5,3,NA
2,2.3,6,3,NA
2,2.3,7,2,NA
2,2.3,8,1,NA
2,2.4,1,0,NA
2,2.4,2,0,NA
2,2.4,3,1,NA
2,2.4,4,1,NA
2,2.4,5,2,NA
2,2.4,6,0,NA
2,2.4,7,1,NA
2,2.4,8,0,NA
2,2.5,1,0,NA
2,2.5,2,1,NA
2,2.5,3,0,NA
2,2.5,4,2,NA
2,2.5,5,0,NA
2,2.5,6,0,NA
2,2.5,7,1,NA
2,2.5,8,1,NA
3,1.2,1,2,NA
3,1.2,2,1,NA
3,1.2,3,0,NA
3,1.2,4,0,NA
3,1.2,5,1,NA
3,1.2,6,0,NA
3,1.2,7,1,NA
3,1.2,8,2,NA
3,1.5,1,2,NA
3,1.5,2,3,NA
3,1.5,3,0,NA
3,1.5,4,0,NA
3,1.5,5,3,NA
3,1.5,6,1,NA
3,1.5,7,0,NA
3,1.5,8,1,NA
3,1.7,1,8,NA
3,1.7,2,3,NA
3,1.7,3,4,NA
3,1.7,4,7,NA
3,1.7,5,3,NA
3,1.7,6,5,NA
3,1.7,7,4,NA
3,1.7,8,2,NA
3,2.3,1,7,NA
3,2.3,2,7,NA
3,2.3,3,8,NA
3,2.3,4,5,NA
3,2.3,5,4,NA
3,2.3,6,10,NA
3,2.3,7,3,NA
3,2.3,8,5,NA
3,2.4,1,0,NA
3,2.4,2,1,NA
3,2.4,3,0,NA
3,2.4,4,0,NA
3,2.4,5,3,NA
3,2.4,6,0,NA
3,2.4,7,0,NA
3,2.4,8,2,NA
3,2.5,1,0,NA
3,2.5,2,2,NA
3,2.5,3,2,NA
3,2.5,4,4,NA
3,2.5,5,2,NA
3,2.5,6,0,NA
3,2.5,7,0,NA
3,2.5,8,0,NA
4,1.2,1,3,TRUE
4,1.2,2,7,TRUE
4,1.2,3,2,TRUE
