Source,C_raw,Cs,Vin_temp,Vall_temp,,,,"Mixed (big tubes, x10 ea)",,,,"Initial (small tubes, x6 ea)",,
C23-1-1,63.3,633,0.690456277,6.904562773,,,,Source,Vol (ul),Complete,,Source,Vol (ul),Complete
C23-2-1,62,620,0.704933586,7.049335863,,,,C23-1-1,690.4562773,TRUE,,1,800,TRUE
C7-17-3,62,620,0.704933586,7.049335863,,,,C23-2-1,704.9335863,TRUE,,2,800,TRUE
C7-18-2,72,720,0.607026144,6.070261438,,,,C7-17-3,704.9335863,TRUE,,3,800,TRUE
C7-19-1,109,1090,0.400971398,4.009713977,,,,C7-18-2,607.0261438,TRUE,,4,800,TRUE
C36-72-1,61.3,613,0.712983399,7.129833989,,,,C7-19-1,400.9713977,TRUE,,5,800,TRUE
C36-73-3,60,600,0.728431373,7.284313725,,,,C36-72-1,712.9833989,TRUE,,6,800,TRUE
C36-74-1,80,800,0.546323529,5.463235294,,,,C36-73-3,728.4313725,TRUE,,7,800,TRUE
P36-39-2,56,560,0.780462185,7.804621849,,,,C36-74-1,546.3235294,TRUE,,8,800,TRUE
P36-40-2,76,760,0.575077399,5.750773994,,,,P36-39-2,780.4621849,TRUE,,9,800,TRUE
P36-42-1,68.7,687,0.636184605,6.361846048,,,,P36-40-2,575.0773994,TRUE,,10,800,TRUE
P24-26-1,62.7,627,0.697063514,6.970635144,,,,P36-42-1,636.1846048,TRUE,,,,
P24-25-3,80.3,803,0.54428247,5.442824701,,,,P24-26-1,697.0635144,TRUE,,,,
P3-35-3,63,630,0.693744164,6.937441643,,,,P24-25-3,544.2824701,TRUE,,,,
P3-36-2,68.3,683,0.63991043,6.399104298,,,,P3-35-3,693.7441643,TRUE,,,,
P3-37-3,89.3,893,0.489427574,4.894275739,,,,P3-36-2,639.9104298,TRUE,,,,
P24-75-3,65.7,657,0.66523413,6.652341302,,,,P3-37-3,489.4275739,TRUE,,,,
,,total ->,10.81744576,,9.182554236,<- top-off,,P24-75-3,665.2341302,TRUE,,,,
,,,,,4.5 x2 + 0.183,,,,,,,,,
,,,,,,,,,,,,,,
K (r/ml),K/17,K/17/4,Vexp,,Vtemp,Dtemp (.5*K),IndivT,,Vtmp_xtra,Vin_init,k_frac,Vinit_t,C_init,
743,43.70588235,10.92647059,15,,20,21.85294118,437.0588235,,5,0.8,0.25,10,14.86,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
P3-36-3,41.4,414,,,,,,,,,,,,
P3-37-2,43,430,,,,,,,,,,,,
P3-35-2,30.2,302,,,,,,,,,,,,
