site,leaf,ID,plate,row,col,complete,8-Oct,15-Oct
C,4,C4,9,A,1,1,2,12
C,4,C4,9,A,2,1,2,8
C,4,C4,9,A,3,1,6,16
C,4,C4,9,A,4,1,3,14
C,4,C4,9,A,5,1,7,10
C,4,C4,9,A,6,1,0,0
C,4,C4,9,A,7,1,4,28
C,4,C4,9,A,8,1,0,2
C,4,C4,9,B,1,1,2,20
C,4,C4,9,B,2,1,6,15
C,4,C4,9,B,3,1,0,0
C,4,C4,9,B,4,1,0,0
C,4,C4,9,B,5,1,0,0
C,4,C4,9,B,6,1,1,25
C,4,C4,9,B,7,1,6,28
C,4,C4,9,B,8,1,3,20
C,23,C23,9,C,1,1,1,0
C,23,C23,9,C,2,1,0,0
C,23,C23,9,C,3,1,0,1
C,23,C23,9,C,4,1,1,1
C,23,C23,9,C,5,1,1,2
C,23,C23,9,C,6,1,2,19
C,23,C23,9,C,7,1,0,2
C,23,C23,9,C,8,1,1,1
C,23,C23,9,D,1,1,1,0
C,23,C23,9,D,2,1,0,11
C,23,C23,9,D,3,1,0,1
C,23,C23,9,D,4,1,0,
C,23,C23,9,D,5,1,0,
C,23,C23,9,D,6,1,0,
C,23,C23,9,D,7,1,0,
C,23,C23,9,D,8,1,0,
C,27,C27,9,E,1,1,0,
C,27,C27,9,E,2,1,0,
C,27,C27,9,E,3,1,1,
C,27,C27,9,E,4,1,2,
C,27,C27,9,E,5,1,1,
C,27,C27,9,E,6,1,0,
C,27,C27,9,E,7,1,0,
C,27,C27,9,E,8,1,0,
C,27,C27,9,F,1,1,1,
C,27,C27,9,F,2,1,0,
C,27,C27,9,F,3,1,0,
C,27,C27,9,F,4,1,0,
C,27,C27,9,F,5,1,0,
C,27,C27,9,F,6,1,0,
C,27,C27,9,F,7,1,1,
C,27,C27,9,F,8,1,0,
C,36,C36,10,A,1,1,0,0
C,36,C36,10,A,2,1,1,0
C,36,C36,10,A,3,1,0,0
C,36,C36,10,A,4,1,0,0
C,36,C36,10,A,5,1,0,0
C,36,C36,10,A,6,1,1,1
C,36,C36,10,A,7,1,0,0
C,36,C36,10,A,8,1,0,0
C,36,C36,10,B,1,1,0,0
C,36,C36,10,B,2,1,0,0
C,36,C36,10,B,3,1,0,1
C,36,C36,10,B,4,1,1,1
C,36,C36,10,B,5,1,0,0
C,36,C36,10,B,6,1,1,0
C,36,C36,10,B,7,1,1,0
C,36,C36,10,B,8,1,1,0
C,49,C49,10,C,1,1,STOP,1
C,49,C49,10,C,2,1,,0
C,49,C49,10,C,3,1,,0
C,49,C49,10,C,4,1,,0
C,49,C49,10,C,5,1,,0
C,49,C49,10,C,6,1,,0
C,49,C49,10,C,7,1,,0
C,49,C49,10,C,8,1,,1
C,49,C49,10,D,1,1,,0
C,49,C49,10,D,2,1,,2
C,49,C49,10,D,3,1,,0
C,49,C49,10,D,4,1,,0
C,49,C49,10,D,5,1,,0
C,49,C49,10,D,6,1,,0
C,49,C49,10,D,7,1,,0
C,49,C49,10,D,8,1,,1
P,3,P3,10,E,1,1,,0
P,3,P3,10,E,2,1,,0
P,3,P3,10,E,3,1,,0
P,3,P3,10,E,4,1,,0
P,3,P3,10,E,5,1,,0
P,3,P3,10,E,6,1,,1
P,3,P3,10,E,7,1,,0
P,3,P3,10,E,8,1,,1
P,3,P3,10,F,1,1,,0
P,3,P3,10,F,2,1,,0
P,3,P3,10,F,3,1,,0
P,3,P3,10,F,4,1,,0
P,3,P3,10,F,5,1,,0
P,3,P3,10,F,6,1,,0
P,3,P3,10,F,7,1,,0
P,3,P3,10,F,8,1,,0
P,7,P7,11,A,1,1,,
P,7,P7,11,A,2,1,,
P,7,P7,11,A,3,1,,
P,7,P7,11,A,4,1,,
P,7,P7,11,A,5,1,,
P,7,P7,11,A,6,1,,
P,7,P7,11,A,7,1,,
P,7,P7,11,A,8,1,,
P,7,P7,11,B,1,1,,
P,7,P7,11,B,2,1,,
P,7,P7,11,B,3,1,,
P,7,P7,11,B,4,1,,
P,7,P7,11,B,5,1,,
P,7,P7,11,B,6,1,,
P,7,P7,11,B,7,1,,
P,7,P7,11,B,8,1,,
P,24,P24,11,C,1,1,,
P,24,P24,11,C,2,1,,
P,24,P24,11,C,3,1,,
P,24,P24,11,C,4,1,,
P,24,P24,11,C,5,1,,
P,24,P24,11,C,6,1,,
P,24,P24,11,C,7,1,,
P,24,P24,11,C,8,1,,
P,24,P24,11,D,1,1,,
P,24,P24,11,D,2,1,,
P,24,P24,11,D,3,1,,
P,24,P24,11,D,4,1,,
P,24,P24,11,D,5,1,,
P,24,P24,11,D,6,1,,
P,24,P24,11,D,7,1,,
P,24,P24,11,D,8,1,,
P,27,P27,11,E,1,1,,
P,27,P27,11,E,2,1,,
P,27,P27,11,E,3,1,,
P,27,P27,11,E,4,1,,
P,27,P27,11,E,5,1,,
P,27,P27,11,E,6,1,,
P,27,P27,11,E,7,1,,
P,27,P27,11,E,8,1,,
P,27,P27,11,F,1,1,,
P,27,P27,11,F,2,1,,
P,27,P27,11,F,3,1,,
P,27,P27,11,F,4,1,,
P,27,P27,11,F,5,1,,
P,27,P27,11,F,6,1,,
P,27,P27,11,F,7,1,,
P,27,P27,11,F,8,1,,
