Area,Circ.,AR,Round,Solidity,file_name,row_number,object,site,leaf,clone,replicate
5346,0.633,1.846,0.542,0.965,C2-4-3.csv,1,,C,2,4,3
3203,0.697,1.314,0.761,0.96,C2-4-3.csv,2,,C,2,4,3
4484,0.479,1.142,0.876,0.935,C2-4-3.csv,3,,C,2,4,3
3651,0.674,1.631,0.613,0.949,C2-4-3.csv,4,,C,2,4,3
3977,0.403,1.384,0.722,0.879,C2-4-3.csv,5,,C,2,4,3
5832,0.481,1.691,0.592,0.93,C2-4-3.csv,6,,C,2,4,3
3109,0.711,1.406,0.711,0.946,C2-4-3.csv,7,,C,2,4,3
4597,0.667,1.622,0.617,0.945,C2-4-3.csv,8,,C,2,4,3
3139,0.652,1.6,0.625,0.949,C2-4-3.csv,9,,C,2,4,3
4165,0.644,1.279,0.782,0.943,C2-4-3.csv,10,,C,2,4,3
4597,0.689,1.537,0.651,0.947,C2-4-3.csv,11,,C,2,4,3
2860,0.524,1.289,0.776,0.912,C2-4-3.csv,12,,C,2,4,3
4311,0.398,2.711,0.369,0.905,C2-4-3.csv,13,,C,2,4,3
4248,0.477,1.603,0.624,0.924,C2-4-3.csv,14,,C,2,4,3
2716,0.599,1.441,0.694,0.901,C2-4-3.csv,15,,C,2,4,3
3830,0.469,1.439,0.695,0.913,C2-4-3.csv,16,,C,2,4,3
4174,0.572,1.558,0.642,0.924,C2-4-3.csv,17,,C,2,4,3
4122,0.647,1.548,0.646,0.933,C2-4-3.csv,18,,C,2,4,3
3880,0.667,1.85,0.541,0.94,C2-4-3.csv,19,,C,2,4,3
3592,0.445,1.514,0.661,0.919,C2-4-3.csv,20,,C,2,4,3
3166,0.636,1.309,0.764,0.931,C2-4-3.csv,21,,C,2,4,3
5646,0.584,1.268,0.788,0.95,C2-4-3.csv,22,,C,2,4,3
3618,0.108,1.713,0.584,0.687,C2-4-3.csv,23,,C,2,4,3
4374,0.557,2.262,0.442,0.911,C2-4-3.csv,24,,C,2,4,3
5759,0.372,1.298,0.77,0.894,C2-4-3.csv,25,,C,2,4,3
3135,0.345,1.625,0.615,0.89,C2-4-3.csv,26,,C,2,4,3
4328,0.723,1.14,0.877,0.952,C2-4-3.csv,27,,C,2,4,3
3846,0.586,1.83,0.547,0.942,C2-4-3.csv,28,,C,2,4,3
2319,0.521,1.526,0.655,0.91,C2-4-3.csv,29,,C,2,4,3
4000,0.565,1.531,0.653,0.936,C2-4-3.csv,30,,C,2,4,3
3622,0.634,2.102,0.476,0.931,C2-4-3.csv,31,,C,2,4,3
4229,0.55,1.869,0.535,0.923,C2-4-3.csv,32,,C,2,4,3
5042,0.681,1.669,0.599,0.958,C2-4-3.csv,33,,C,2,4,3
3261,0.445,1.696,0.59,0.902,C2-4-3.csv,34,,C,2,4,3
4564,0.609,1.585,0.631,0.942,C2-4-3.csv,35,,C,2,4,3
4575,0.55,1.737,0.576,0.938,C2-4-3.csv,36,,C,2,4,3
6123,0.632,1.811,0.552,0.951,C2-4-3.csv,37,,C,2,4,3
4133,0.462,1.178,0.849,0.918,C2-4-3.csv,38,,C,2,4,3
3945,0.465,1.626,0.615,0.92,C2-4-3.csv,39,,C,2,4,3
4240,0.543,1.96,0.51,0.934,C2-4-3.csv,40,,C,2,4,3
708,0.438,2.864,0.349,0.912,C2-4-3.csv,41,,C,2,4,3
5346,0.633,1.846,0.542,0.965,C2-5-1.csv,1,,C,2,5,1
3203,0.697,1.314,0.761,0.96,C2-5-1.csv,2,,C,2,5,1
4484,0.479,1.142,0.876,0.935,C2-5-1.csv,3,,C,2,5,1
3651,0.674,1.631,0.613,0.949,C2-5-1.csv,4,,C,2,5,1
3977,0.403,1.384,0.722,0.879,C2-5-1.csv,5,,C,2,5,1
5832,0.481,1.691,0.592,0.93,C2-5-1.csv,6,,C,2,5,1
3109,0.711,1.406,0.711,0.946,C2-5-1.csv,7,,C,2,5,1
4597,0.667,1.622,0.617,0.945,C2-5-1.csv,8,,C,2,5,1
3139,0.652,1.6,0.625,0.949,C2-5-1.csv,9,,C,2,5,1
4165,0.644,1.279,0.782,0.943,C2-5-1.csv,10,,C,2,5,1
4597,0.689,1.537,0.651,0.947,C2-5-1.csv,11,,C,2,5,1
2860,0.524,1.289,0.776,0.912,C2-5-1.csv,12,,C,2,5,1
4311,0.398,2.711,0.369,0.905,C2-5-1.csv,13,,C,2,5,1
4248,0.477,1.603,0.624,0.924,C2-5-1.csv,14,,C,2,5,1
2716,0.599,1.441,0.694,0.901,C2-5-1.csv,15,,C,2,5,1
3830,0.469,1.439,0.695,0.913,C2-5-1.csv,16,,C,2,5,1
4174,0.572,1.558,0.642,0.924,C2-5-1.csv,17,,C,2,5,1
4122,0.647,1.548,0.646,0.933,C2-5-1.csv,18,,C,2,5,1
3880,0.667,1.85,0.541,0.94,C2-5-1.csv,19,,C,2,5,1
3592,0.445,1.514,0.661,0.919,C2-5-1.csv,20,,C,2,5,1
3166,0.636,1.309,0.764,0.931,C2-5-1.csv,21,,C,2,5,1
5646,0.584,1.268,0.788,0.95,C2-5-1.csv,22,,C,2,5,1
3618,0.108,1.713,0.584,0.687,C2-5-1.csv,23,,C,2,5,1
4374,0.557,2.262,0.442,0.911,C2-5-1.csv,24,,C,2,5,1
5759,0.372,1.298,0.77,0.894,C2-5-1.csv,25,,C,2,5,1
3135,0.345,1.625,0.615,0.89,C2-5-1.csv,26,,C,2,5,1
4328,0.723,1.14,0.877,0.952,C2-5-1.csv,27,,C,2,5,1
3846,0.586,1.83,0.547,0.942,C2-5-1.csv,28,,C,2,5,1
2319,0.521,1.526,0.655,0.91,C2-5-1.csv,29,,C,2,5,1
4000,0.565,1.531,0.653,0.936,C2-5-1.csv,30,,C,2,5,1
3622,0.634,2.102,0.476,0.931,C2-5-1.csv,31,,C,2,5,1
4229,0.55,1.869,0.535,0.923,C2-5-1.csv,32,,C,2,5,1
5042,0.681,1.669,0.599,0.958,C2-5-1.csv,33,,C,2,5,1
3261,0.445,1.696,0.59,0.902,C2-5-1.csv,34,,C,2,5,1
4564,0.609,1.585,0.631,0.942,C2-5-1.csv,35,,C,2,5,1
4575,0.55,1.737,0.576,0.938,C2-5-1.csv,36,,C,2,5,1
6123,0.632,1.811,0.552,0.951,C2-5-1.csv,37,,C,2,5,1
4133,0.462,1.178,0.849,0.918,C2-5-1.csv,38,,C,2,5,1
3945,0.465,1.626,0.615,0.92,C2-5-1.csv,39,,C,2,5,1
4240,0.543,1.96,0.51,0.934,C2-5-1.csv,40,,C,2,5,1
708,0.438,2.864,0.349,0.912,C2-5-1.csv,41,,C,2,5,1
5346,0.633,1.846,0.542,0.965,P5-1-4.csv,1,,P,5,1,4
3203,0.697,1.314,0.761,0.96,P5-1-4.csv,2,,P,5,1,4
4484,0.479,1.142,0.876,0.935,P5-1-4.csv,3,,P,5,1,4
3651,0.674,1.631,0.613,0.949,P5-1-4.csv,4,,P,5,1,4
3977,0.403,1.384,0.722,0.879,P5-1-4.csv,5,,P,5,1,4
5832,0.481,1.691,0.592,0.93,P5-1-4.csv,6,,P,5,1,4
3109,0.711,1.406,0.711,0.946,P5-1-4.csv,7,,P,5,1,4
4597,0.667,1.622,0.617,0.945,P5-1-4.csv,8,,P,5,1,4
3139,0.652,1.6,0.625,0.949,P5-1-4.csv,9,,P,5,1,4
4165,0.644,1.279,0.782,0.943,P5-1-4.csv,10,,P,5,1,4
4597,0.689,1.537,0.651,0.947,P5-1-4.csv,11,,P,5,1,4
2860,0.524,1.289,0.776,0.912,P5-1-4.csv,12,,P,5,1,4
4311,0.398,2.711,0.369,0.905,P5-1-4.csv,13,,P,5,1,4
4248,0.477,1.603,0.624,0.924,P5-1-4.csv,14,,P,5,1,4
2716,0.599,1.441,0.694,0.901,P5-1-4.csv,15,,P,5,1,4
3830,0.469,1.439,0.695,0.913,P5-1-4.csv,16,,P,5,1,4
4174,0.572,1.558,0.642,0.924,P5-1-4.csv,17,,P,5,1,4
4122,0.647,1.548,0.646,0.933,P5-1-4.csv,18,,P,5,1,4
3880,0.667,1.85,0.541,0.94,P5-1-4.csv,19,,P,5,1,4
3592,0.445,1.514,0.661,0.919,P5-1-4.csv,20,,P,5,1,4
3166,0.636,1.309,0.764,0.931,P5-1-4.csv,21,,P,5,1,4
5646,0.584,1.268,0.788,0.95,P5-1-4.csv,22,,P,5,1,4
3618,0.108,1.713,0.584,0.687,P5-1-4.csv,23,,P,5,1,4
4374,0.557,2.262,0.442,0.911,P5-1-4.csv,24,,P,5,1,4
5759,0.372,1.298,0.77,0.894,P5-1-4.csv,25,,P,5,1,4
3135,0.345,1.625,0.615,0.89,P5-1-4.csv,26,,P,5,1,4
4328,0.723,1.14,0.877,0.952,P5-1-4.csv,27,,P,5,1,4
3846,0.586,1.83,0.547,0.942,P5-1-4.csv,28,,P,5,1,4
2319,0.521,1.526,0.655,0.91,P5-1-4.csv,29,,P,5,1,4
4000,0.565,1.531,0.653,0.936,P5-1-4.csv,30,,P,5,1,4
3622,0.634,2.102,0.476,0.931,P5-1-4.csv,31,,P,5,1,4
4229,0.55,1.869,0.535,0.923,P5-1-4.csv,32,,P,5,1,4
5042,0.681,1.669,0.599,0.958,P5-1-4.csv,33,,P,5,1,4
3261,0.445,1.696,0.59,0.902,P5-1-4.csv,34,,P,5,1,4
