day,tube,rotif_temp,prot_temp,rotifer_ml,protist_ml
0,1a,1,,10,NA
0,1b,1,,10,NA
0,1c,2,34,20,2312
0,1d,4,112,40,7616
0,1e,5,,50,NA
0,1f,1,,10,NA
0,1g,4,37,40,2516
0,1h,5,62,50,4216
0,2a,1,,10,NA
0,2b,4,,40,NA
0,2c,2,8,20,544
0,2d,2,23,20,1564
0,2e,2,,20,NA
0,2f,2,,20,NA
0,2g,3,6,30,408
0,2h,5,17,50,1156
0,3a,1,,10,NA
0,3b,2,,20,NA
0,3c,3,10,30,680
0,3d,4,11,40,748
0,3e,2,,20,NA
0,3f,4,,40,NA
0,3g,3,6,30,408
0,3h,1,19,10,1292
0,4a,3,,30,NA
0,4b,3,,30,NA
0,4c,5,13,50,884
0,4d,4,15,40,1020
0,4e,6,,60,NA
0,4f,1,,10,NA
0,4g,4,4,40,272
0,4h,5,14,50,952
0,5a,3,,30,NA
0,5b,4,,40,NA
0,5c,8,14,80,952
0,5d,4,18,40,1224
0,5e,2,,20,NA
0,5f,3,,30,NA
0,5g,2,4,20,272
0,5h,2,15,20,1020
0,6a,1,,10,NA
0,6b,6,,60,NA
0,6c,4,11,40,748
0,6d,8,14,80,952
0,6e,3,,30,NA
0,6f,4,,40,NA
0,6g,3,0,30,NA
0,6h,5,26,50,1768
0,7a,0,,0,NA
0,7b,3,,30,NA
0,7c,5,17,50,1156
0,7d,4,18,40,1224
0,7e,1,,10,NA
0,7f,4,,40,NA
0,7g,8,12,80,816
0,7h,4,21,40,1428
0,8a,2,,20,NA
0,8b,0,,0,NA
0,8c,0,25,0,1700
0,8d,0,23,0,1564
0,8e,2,,20,NA
0,8f,3,,30,NA
0,8g,4,13,40,884
0,8h,2,18,20,1224
0,9a,,15,NA,1020
0,9b,,9,NA,612
0,9c,,3,NA,204
0,9d,,2,NA,136
0,9e,,7,NA,476
0,9f,,11,NA,748
0,9g,,7,NA,476
0,9h,,2,NA,136
0,10a,,30,NA,2040
0,10b,,46,NA,3128
0,10c,,45,NA,3060
0,10d,,22,NA,1496
0,10e,,54,NA,3672
0,10f,,42,NA,2856
0,10g,,28,NA,1904
0,10h,,24,NA,1632
3,1a,5,,,
3,1b,12,,,
3,1c,1,66,,
3,1d,18,76,,
3,1e,3,,,
3,1f,9,,,
3,1g,5,62,,
3,1h,24,70,,
3,2a,9,,,
3,2b,13,,,
3,2c,3,58,,
3,2d,15,123,,
3,2e,3,,,
3,2f,23,,,
3,2g,9,44,,
3,2h,15,88,,
3,3a,6,,,
3,3b,17,,,
3,3c,3,38,,
3,3d,12,96,,
3,3e,3,,,
3,3f,12,,,
3,3g,0,39,,
3,3h,14,66,,
3,4a,5, ,,
3,4b,16,,,
3,4c,3,32,,
3,4d,8,96,,
3,4e,6,,,
3,4f,22,,,
3,4g,9,45,,
3,4h,18,60,,
3,5a,4,,,
3,5b,29,,,
3,5c,7,33,,
3,5d,7,61,,
3,5e,8,,,
3,5f,13,,,
3,5g,2,11,,
3,5h,5,52,,
3,6a,3,,,
3,6b,22,,,
3,6c,5,41,,
3,6d,4,27,,
3,6e,5,,,
3,6f,10,,,
3,6g,8,0,,
3,6h,12,62,,
3,7a,7, ,,
3,7b,21,,,
3,7c,3,19,,
3,7d,5,80,,
3,7e,2,,,
3,7f,20,,,
3,7g,4,32,,
3,7h,5,47,,
3,8a,2,,,
3,8b,6,,,
3,8c,4,130,,
3,8d,3,62,,
3,8e,3,,,
3,8f,22,,,
3,8g,10,99,,
3,8h,9,32,,
3,9a,,47,,
3,9b,,62,,
3,9c,,55,,
3,9d,,53,,
3,9e,,95,,
3,9f,,53,,
3,9g,,34,,
3,9h,,84,,
3,10a,,93,,
3,10b,,54,,
3,10c,,26,,
3,10d,,57,,
3,10e,,94,,
3,10f,,64,,
3,10g,,39,,
3,10h,,91,,
