"treatment","evolvedTemp","currentTemp","competition","species","repNum","y0","mumax","K","evoRotifTemp","logmumax","compFact"
"HP",25,"25",FALSE,"protist","1",29.9999422683256,1.70867890168749,1334.26959793661,"Protist only (25C)",0.53572049981436,"noComp"
"NP",25,"30",FALSE,"protist","1",29.9998970760086,2.37509215407365,942.387987782685,"Protist only (25C)",0.865036238449059,"noComp"
"E25HRP",25,"25",TRUE,"protist","1",29.9999857549942,1.39474682758685,777.527620468931,"25C",0.332712913202,"rotif25"
"E30NRP",30,"25",TRUE,"protist","1",29.9999767645027,1.73479190435342,888.983375782153,"30C",0.550887466351525,"rotif30"
"E25NRP",25,"30",TRUE,"protist","1",29.9999790219603,1.85959086487363,1049.7133883204,"25C",0.620356498407532,"rotif25"
"E30HRP",30,"30",TRUE,"protist","1",29.9999863806247,2.35881694156214,781.598176729045,"30C",0.858160197398453,"rotif30"
"HP",25,"25",FALSE,"protist","2",29.9999890823366,1.03703874193644,1359.29097757987,"Protist only (25C)",0.0363692881796599,"noComp"
"NP",25,"30",FALSE,"protist","2",3.18164974550592,7.77466915019986,692.590899082732,"Protist only (25C)",2.05087090413094,"noComp"
"E25HRP",25,"25",TRUE,"protist","2",24.7268253919205,2.0434030021659,892.343731785336,"25C",0.714616556375389,"rotif25"
"E30NRP",30,"25",TRUE,"protist","2",29.9999744820794,1.45886502850237,725.346781536215,"30C",0.37765875566738,"rotif30"
"E25NRP",25,"30",TRUE,"protist","2",29.9998660235538,3.63770048670847,804.269635059987,"25C",1.29135174759963,"rotif25"
"E30HRP",30,"30",TRUE,"protist","2",29.9999888086424,1.81049689018386,825.201194883559,"30C",0.59360133256611,"rotif30"
"HP",25,"25",FALSE,"protist","3",29.9999908976791,1.18410549481915,1140.19309393687,"Protist only (25C)",0.168987632846624,"noComp"
"NP",25,"30",FALSE,"protist","3",29.9999867268115,2.49922057335749,542.3309381428,"Protist only (25C)",0.915978912606575,"noComp"
"E25HRP",25,"25",TRUE,"protist","3",29.9999733897891,1.73924546377842,611.945653949487,"25C",0.553451377670113,"rotif25"
"E30NRP",30,"25",TRUE,"protist","3",29.9999888572761,3.09172272826084,540.676984075055,"30C",1.12872845279118,"rotif30"
"E25NRP",25,"30",TRUE,"protist","3",29.9999856644132,2.21100738910544,673.835226847241,"25C",0.793448243844145,"rotif25"
"E30HRP",30,"30",TRUE,"protist","3",29.9999607695157,2.04021360249684,671.410363276168,"30C",0.713054509481014,"rotif30"
