day,replicate,evolvedTemp,currentTemp,competition,species,idCode,singlePass,fullSlide
0.25,1,25,25,FALSE,rotifer,E25HR,,
0.25,1,25,30,FALSE,rotifer,E25NR,,
0.25,1,30,30,FALSE,rotifer,E30HR,,
0.25,1,30,25,FALSE,rotifer,E30NR,,
0.25,1,25,25,FALSE,protist,HP,,
0.25,1,25,30,FALSE,protist,NP,,
0.25,1,25,25,TRUE,rotifer,E25HRP,,
0.25,1,25,25,TRUE,protist,E25HRP,,
0.25,1,25,30,TRUE,rotifer,E25NRP,,
0.25,1,25,30,TRUE,protist,E25NRP,,
0.25,1,30,30,TRUE,rotifer,E30HRP,,
0.25,1,30,30,TRUE,protist,E30HRP,,
0.25,1,30,25,TRUE,rotifer,E30NRP,,
0.25,1,30,25,TRUE,protist,E30NRP,,
0.25,2,25,25,FALSE,rotifer,E25HR,,
0.25,2,25,30,FALSE,rotifer,E25NR,,
0.25,2,30,30,FALSE,rotifer,E30HR,,
0.25,2,30,25,FALSE,rotifer,E30NR,,
0.25,2,25,25,FALSE,protist,HP,,
0.25,2,25,30,FALSE,protist,NP,,
0.25,2,25,25,TRUE,rotifer,E25HRP,,
0.25,2,25,25,TRUE,protist,E25HRP,,
0.25,2,25,30,TRUE,rotifer,E25NRP,,
0.25,2,25,30,TRUE,protist,E25NRP,,
0.25,2,30,30,TRUE,rotifer,E30HRP,,
0.25,2,30,30,TRUE,protist,E30HRP,,
0.25,2,30,25,TRUE,rotifer,E30NRP,,
0.25,2,30,25,TRUE,protist,E30NRP,,
0.25,3,25,25,FALSE,rotifer,E25HR,,
0.25,3,25,30,FALSE,rotifer,E25NR,,
0.25,3,30,30,FALSE,rotifer,E30HR,,
0.25,3,30,25,FALSE,rotifer,E30NR,,
0.25,3,25,25,FALSE,protist,HP,,
0.25,3,25,30,FALSE,protist,NP,,
0.25,3,25,25,TRUE,rotifer,E25HRP,,
0.25,3,25,25,TRUE,protist,E25HRP,,
0.25,3,25,30,TRUE,rotifer,E25NRP,,
0.25,3,25,30,TRUE,protist,E25NRP,,
0.25,3,30,30,TRUE,rotifer,E30HRP,,
0.25,3,30,30,TRUE,protist,E30HRP,,
0.25,3,30,25,TRUE,rotifer,E30NRP,,
0.25,3,30,25,TRUE,protist,E30NRP,,
