countNum,rep,lengthHours,runningHours,dayCoef,countTimeDays
1,1,0.42,0.42,0.0175,0.25
1,2,0.42,0.84,0.035,0.2675
1,3,0.42,1.26,0.0525,0.285
1,4,0.42,1.68,0.07,0.3025
1,5,0.42,2.1,0.0875,0.32
1,6,0.42,2.52,0.105,0.3375
1,7,0.42,2.94,0.1225,0.355
1,8,0.42,3.36,0.14,0.3725
1,9,0.42,3.78,0.1575,0.39
1,10,0.42,4.2,0.175,0.4075
2,1,0.4,0.4,0.016666667,0.75
2,2,0.4,0.8,0.033333333,0.766666667
2,3,0.4,1.2,0.05,0.783333333
2,4,0.4,1.6,0.066666667,0.8
2,5,0.4,2,0.083333333,0.816666667
2,6,0.4,2.4,0.1,0.833333333
2,7,0.4,2.8,0.116666667,0.85
2,8,0.4,3.2,0.133333333,0.866666667
2,9,0.4,3.6,0.15,0.883333333
2,10,0.4,4,0.166666667,0.9
