image_name,area_px
25_1.MP4.00_00_08_17.Still001__det0__cls1__crop00001_Simple Segmentation.tiff,3794
25_1.MP4.00_00_42_13.Still004__det0__cls1__crop00002_Simple Segmentation.tiff,5200
25_1.MP4.00_00_42_13.Still004__det1__cls1__crop00003_Simple Segmentation.tiff,4661
25_1.MP4.00_01_48_13.Still008__det1__cls1__crop00007_Simple Segmentation.tiff,2533
25_1.MP4.00_02_26_26.Still010__det0__cls1__crop00009_Simple Segmentation.tiff,3422
25_1.MP4.00_02_49_02.Still011__det3__cls1__crop00010_Simple Segmentation.tiff,3679
25_1.MP4.00_03_18_09.Still012__det0__cls1__crop00011_Simple Segmentation.tiff,4473
25_1.MP4.00_03_18_09.Still012__det3__cls1__crop00012_Simple Segmentation.tiff,3788
25_1.MP4.00_03_38_15.Still014__det0__cls1__crop00015_Simple Segmentation.tiff,3650
25_1.MP4.00_03_38_15.Still014__det2__cls1__crop00016_Simple Segmentation.tiff,3354
25_1.MP4.00_03_55_25.Still016__det0__cls1__crop00019_Simple Segmentation.tiff,3264
25_1.MP4.00_03_58_19.Still017__det0__cls1__crop00020_Simple Segmentation.tiff,2334
25_1.MP4.00_04_13_07.Still018__det0__cls1__crop00021_Simple Segmentation.tiff,3791
25_1.MP4.00_04_55_02.Still022__det0__cls1__crop00024_Simple Segmentation.tiff,5372
25_1.MP4.00_05_09_16.Still024__det0__cls1__crop00027_Simple Segmentation.tiff,5053
25_1.MP4.00_05_13_08.Still025__det0__cls1__crop00028_Simple Segmentation.tiff,5468
25_1.MP4.00_05_15_14.Still026__det2__cls1__crop00029_Simple Segmentation.tiff,4117
25_1.MP4.00_05_17_18.Still027__det0__cls1__crop00030_Simple Segmentation.tiff,5151
25_1.MP4.00_05_21_29.Still028__det1__cls1__crop00032_Simple Segmentation.tiff,4518
25_10.MP4.00_00_05_29.Still001__det0__cls1__crop00038_Simple Segmentation.tiff,5262
25_10.MP4.00_00_19_29.Still004__det0__cls1__crop00040_Simple Segmentation.tiff,3298
25_10.MP4.00_00_19_29.Still004__det1__cls1__crop00041_Simple Segmentation.tiff,1484
25_10.MP4.00_00_20_28.Still005__det0__cls1__crop00042_Simple Segmentation.tiff,5691
