site,leaf,sampleID,locationID,isolateID,7week
C,27,C27,1-A1,C27-01i_1-A1,
C,27,C27,1-A2,C27-02i_1-A2,
C,27,C27,1-A3,C27-03i_1-A3,
C,27,C27,1-A4,C27-04i_1-A4,
C,27,C27,1-A5,C27-05i_1-A5,
C,27,C27,1-A7,C27-06i_1-A7,
C,27,C27,1-A8,C27-07i_1-A8,
C,27,C27,1-B1,C27-08i_1-B1,
C,27,C27,1-B2,C27-09i_1-B2,
C,27,C27,1-B3,C27-10i_1-B3,
C,27,C27,1-B4,C27-11i_1-B4,
C,27,C27,1-B5,C27-12i_1-B5,
C,27,C27,1-B6,C27-13i_1-B6,
C,27,C27,1-B7,C27-14i_1-B7,
C,27,C27,1-B8,C27-15i_1-B8,
C,27,C27,1-C1,C27-16i_1-C1,
C,7,C7,1-D1,C07-01i_1-D1,
C,7,C7,1-D2,C07-02i_1-D2,
C,7,C7,1-D3,C07-03i_1-D3,
C,7,C7,1-D4,C07-04i_1-D4,
C,7,C7,1-D5,C07-05i_1-D5,
C,7,C7,1-D6,C07-06i_1-D6,
C,7,C7,1-D7,C07-07i_1-D7,
C,7,C7,1-D8,C07-08i_1-D8,
C,7,C7,1-E1,C07-09i_1-E1,
C,7,C7,1-E2,C07-10i_1-E2,
C,7,C7,1-E3,C07-11i_1-E3,
C,7,C7,1-E4,C07-12i_1-E4,
C,7,C7,1-E5,C07-13i_1-E5,
C,7,C7,1-E6,C07-14i_1-E6,
C,7,C7,1-E7,C07-15i_1-E7,
C,7,C7,1-E8,C07-16i_1-E8,
C,28,C28,2-A1,C28-01i_2-A1,
C,28,C28,2-A2,C28-02i_2-A2,
C,28,C28,2-A3,C28-03i_2-A3,
C,28,C28,2-A4,C28-04i_2-A4,
C,28,C28,2-A5,C28-05i_2-A5,
C,28,C28,2-A6,C28-06i_2-A6,
C,28,C28,2-A7,C28-07i_2-A7,
C,28,C28,2-A8,C28-08i_2-A8,
C,28,C28,2-B1,C28-09i_2-B1,
C,28,C28,2-B2,C28-10i_2-B2,
C,28,C28,2-B3,C28-11i_2-B3,
C,28,C28,2-B4,C28-12i_2-B4,
C,28,C28,2-B5,C28-13i_2-B5,
C,28,C28,2-B6,C28-14i_2-B6,
C,28,C28,2-B7,C28-15i_2-B7,
C,28,C28,2-B8,C28-16i_2-B8,
C,23,C23,2-D1,C23-01i_2-D1,
C,23,C23,2-D2,C23-02i_2-D2,
C,23,C23,2-D3,C23-03i_2-D3,
C,23,C23,2-D4,C23-04i_2-D4,
C,23,C23,2-D5,C23-05i_2-D5,
C,23,C23,2-D6,C23-06i_2-D6,
C,23,C23,2-D7,C23-07i_2-D7,
C,23,C23,2-D8,C23-08i_2-D8,
C,23,C23,2-E1,C23-09i_2-E1,
C,23,C23,2-E2,C23-10i_2-E2,
C,23,C23,2-E3,C23-11i_2-E3,
C,23,C23,2-E4,C23-12i_2-E4,
C,23,C23,2-E5,C23-13i_2-E5,
C,23,C23,2-E6,C23-14i_2-E6,
C,23,C23,2-E7,C23-15i_2-E7,
C,23,C23,2-E8,C23-16i_2-E8,
C,49,C49,3-A1,C49-01i_3-A1,DRY
C,49,C49,3-A2,C49-02i_3-A2,FALSE
C,49,C49,3-A3,C49-03i_3-A3,LOW
C,49,C49,3-A4,C49-04i_3-A4,FALSE
C,49,C49,3-A5,C49-05i_3-A5,LOW
C,49,C49,3-A6,C49-06i_3-A6,FALSE
C,49,C49,3-A7,C49-07i_3-A7,FALSE
C,49,C49,3-A8,C49-08i_3-A8,DRY
C,49,C49,3-B1,C49-09i_3-B1,TRUE
C,49,C49,3-B2,C49-10i_3-B2,FALSE
C,49,C49,3-B3,C49-11i_3-B3,FALSE
C,49,C49,3-B4,C49-12i_3-B4,TRUE
C,49,C49,3-B5,C49-13i_3-B5,TRUE
C,49,C49,3-B6,C49-14i_3-B6,TRUE
C,49,C49,3-B7,C49-15i_3-B7,FALSE
C,49,C49,3-B8,C49-16i_3-B8,LOW
P,24,P24,3-D1,P24-01i_3-D1,CONTAM
P,24,P24,3-D2,P24-02i_3-D2,CONTAM
P,24,P24,3-D3,P24-03i_3-D3,FALSE
P,24,P24,3-D4,P24-04i_3-D4,CONTAM
P,24,P24,3-D5,P24-05i_3-D5,TRUE
P,24,P24,3-D6,P24-06i_3-D6,LOW
P,24,P24,3-D7,P24-07i_3-D7,CONTAM
P,24,P24,3-D8,P24-08i_3-D8,DRY
P,24,P24,3-E1,P24-09i_3-E1,CRASH
P,24,P24,3-E2,P24-10i_3-E2,CONTAM
P,24,P24,3-E3,P24-11i_3-E3,FALSE
P,24,P24,3-E4,P24-12i_3-E4,TRUE
P,24,P24,3-E5,P24-13i_3-E5,TRUE
P,24,P24,3-E6,P24-14i_3-E6,FALSE
P,24,P24,3-E7,P24-15i_3-E7,TRUE
P,24,P24,3-E8,P24-16i_3-E8,DRY
P,3,P3,4-A1,P03-01i_4-A1,DRY
P,3,P3,4-A2,P03-02i_4-A2,TRUE
P,3,P3,4-A3,P03-03i_4-A3,TRUE
P,3,P3,4-A4,P03-04i_4-A4,TRUE
P,3,P3,4-A5,P03-05i_4-A5,CONTAM
P,3,P3,4-A6,P03-06i_4-A6,FALSE
P,3,P3,4-A7,P03-07i_4-A7,FALSE
P,3,P3,4-A8,P03-08i_4-A8,TRUE
P,3,P3,4-B1,P03-09i_4-B1,LOW
P,3,P3,4-B2,P03-10i_4-B2,FALSE
P,3,P3,4-B3,P03-11i_4-B3,FALSE
P,3,P3,4-B4,P03-12i_4-B4,FALSE
P,3,P3,4-B5,P03-13i_4-B5,TRUE
P,3,P3,4-B6,P03-14i_4-B6,LOW
P,3,P3,4-B7,P03-15i_4-B7,LOW
P,3,P3,4-B8,P03-16i_4-B8,FALSE
P,36,P36,4-D1,P36-01i_4-D1,TRUE
P,36,P36,4-D2,P36-02i_4-D2,LOW
P,36,P36,4-D3,P36-03i_4-D3,LOW
P,36,P36,4-D4,P36-04i_4-D4,TRUE
P,36,P36,4-D5,P36-05i_4-D5,TRUE
P,36,P36,4-D6,P36-06i_4-D6,TRUE
P,36,P36,4-D7,P36-07i_4-D7,FALSE
P,36,P36,4-D8,P36-08i_4-D8,TRUE
P,36,P36,4-E1,P36-09i_4-E1,CRASH
P,36,P36,4-E2,P36-10i_4-E2,LOW
P,36,P36,4-E3,P36-11i_4-E3,FALSE
P,36,P36,4-E4,P36-12i_4-E4,TRUE
P,36,P36,4-E5,P36-13i_4-E5,TRUE
P,36,P36,4-E6,P36-14i_4-E6,TRUE
P,36,P36,4-E7,P36-15i_4-E7,TRUE
P,36,P36,4-E8,P36-16i_4-E8,TRUE
P,27,P27,5-A1,P27-01i_5-A1,FALSE
P,27,P27,5-A2,P27-02i_5-A2,TRUE
P,27,P27,5-A3,P27-03i_5-A3,FALSE
P,27,P27,5-A4,P27-04i_5-A4,TRUE
P,27,P27,5-A5,P27-05i_5-A5,FALSE
P,27,P27,5-A6,P27-06i_5-A6,FALSE
P,27,P27,5-A7,P27-07i_5-A7,TRUE
P,27,P27,5-A8,P27-08i_5-A8,LOW
P,27,P27,5-B1,P27-09i_5-B1,FALSE
P,27,P27,5-B2,P27-10i_5-B2,TRUE
P,27,P27,5-B3,P27-11i_5-B3,FALSE
P,27,P27,5-B4,P27-12i_5-B4,FALSE
P,27,P27,5-B5,P27-13i_5-B5,LOW
P,27,P27,5-B6,P27-14i_5-B6,TRUE
P,27,P27,5-B7,P27-15i_5-B7,LOW
P,27,P27,5-B8,P27-16i_5-B8,FALSE
