stock,site,leaf,id,countmL
1,C,23,C23,25.53
2,C,23,C23,54.39
3,C,23,C23,9.99
4,C,23,C23,0
5,C,23,C23,25.53
6,C,27,C27,42.18
7,C,27,C27,57.72
8,C,27,C27,19.98
9,C,27,C27,2.22
10,C,27,C27,0
11,C,28,C28,0
12,C,28,C28,91.02
13,C,28,C28,14.43
14,C,28,C28,0
15,C,28,C28,0
16,C,7,C7,4.44
17,C,7,C7,13.32
18,C,7,C7,56.61
19,C,7,C7,61.05
20,C,7,C7,11.1
21,C,49,C49,3.33
22,C,49,C49,28.86
23,C,49,C49,64.38
24,C,49,C49,11.1
25,P,24,P24,536.13
26,P,24,P24,42.18
27,P,24,P24,0
28,P,24,P24,8.88
29,P,27,P27,35.52
30,P,27,P27,499.5
31,P,27,P27,24.42
32,P,27,P27,65.49
33,P,27,P27,4.44
34,P,3,P3,15.54
35,P,3,P3,15.54
36,P,3,P3,22.2
37,P,3,P3,43.29
38,P,3,P3,5.55
39,P,36,P36,59.94
40,P,36,P36,27.75
41,P,36,P36,43.29
42,P,36,P36,26.64
43,P,36,P36,18.87
44,P,8,P8,69.93
45,P,8,P8,354.09
46,P,8,P8,35.52
47,P,8,P8,18.87
53,C,23,C23,11.1
54,C,23,C23,3.33
55,C,23,C23,0
56,C,27,C27,0
57,C,27,C27,39.96
58,C,49,C49,4.44
59,C,49,C49,0
60,C,49,C49,13.32
61,C,49,C49,4.44
62,C,4,C4,22.2
63,C,4,C4,0
64,C,4,C4,1.11
65,C,4,C4,0
66,C,4,C4,0
67,C,4,C4,33.3
68,C,4,C4,0
69,C,4,C4,2.22
70,C,36,C36,2.22
71,C,36,C36,3.33
72,C,36,C36,7.77
73,C,36,C36,7.77
74,C,36,C36,18.87
75,P,24,P24,5.55
76,P,27,P27,36.63
77,P,3,P3,24.42
78,P,7,P7,12.21
79,P,7,P7,11.1
80,P,7,P7,21.09
81,P,7,P7,47.73
82,P,7,P7,0
83,P,7,P7,16.65
84,P,7,P7,36.63
85,P,7,P7,13.32
