day,culture,temperature,replicate,count
3,1,25,1,2
3,1,25,2,0
3,1,25,3,0
3,1,30,4,1
3,1,30,5,2
3,1,30,6,3
3,2,25,1,1
3,2,25,2,2
3,2,25,3,3
3,2,30,4,8
3,2,30,5,2
3,2,30,6,3
3,3,25,1,2
3,3,25,2,0
3,3,25,3,4
3,3,30,4,4
3,3,30,5,1
3,3,30,6,6
3,4,25,1,2
3,4,25,2,0
3,4,25,3,1
3,4,30,4,4
3,4,30,5,1
3,4,30,6,4
3,5,25,1,2
3,5,25,2,2
3,5,25,3,2
3,5,30,4,5
3,5,30,5,0
3,5,30,6,4
3,6,25,1,2
3,6,25,2,1
3,6,25,3,3
3,6,30,4,4
3,6,30,5,4
3,6,30,6,3
3,7,25,1,4
3,7,25,2,0
3,7,25,3,1
3,7,30,4,2
3,7,30,5,3
3,7,30,6,5
3,8,25,1,4
3,8,25,2,1
3,8,25,3,0
3,8,30,4,5
3,8,30,5,7
3,8,30,6,3
3,9,25,1,5
3,9,25,2,1
3,9,25,3,2
3,9,30,4,8
3,9,30,5,3
3,9,30,6,2
3,10,25,1,0
3,10,25,2,2
3,10,25,3,1
3,10,30,4,5
3,10,30,5,5
3,10,30,6,5
