"site","leaf","clone","replicate","y0","mumax","K","treatment","logmu"
"Crystal",1,1,1,2.72455622886762,0.0953020176597011,111.092290564644,"low",0.0910301404527794
"Crystal",1,2,1,1.53065533335487,0.113399309178858,117.549176606696,"low",0.1074177763062
"Crystal",2,3,1,2.53707656645022,0.119444114219175,96.2648570554303,"low",0.112832235506169
"Crystal",2,4,1,0.57927842515122,0.187871166889225,88.7848793094255,"low",0.172162769680388
"Crystal",2,5,1,3.20327406802276,0.0981365992431873,199.999935542454,"low",0.0936147426746965
"Crystal",3,6,1,2.74366361823487,0.0998051615481647,199.999942493964,"low",0.0951330382503814
"Crystal",3,7,1,0.000693288878887977,0.42059500509733,75.5851224132054,"low",0.351075801523955
"Crystal",3,8,1,3.30845158442412,0.115844060200885,83.4019093202342,"low",0.109611123193042
"Pleaphase",4,9,1,2.12477709602697,0.111380590092904,81.3335930904153,"low",0.105603017335531
"Pleaphase",4,10,1,0.74559125316724,0.193284180803494,70.9808291900141,"low",0.176709321625383
"Pleaphase",4,11,1,0.586297516570898,0.16246264751433,109.382794700321,"low",0.150540726792689
"Pleaphase",5,12,1,1.6627646543258,0.160329133361007,85.4329147278311,"low",0.148703700528965
"Pleaphase",5,13,1,1.99808439980858,0.102081934453131,199.999313555828,"low",0.0972010586502696
"Pleaphase",5,14,1,1.3228411759841,0.169476680624767,71.2001661678204,"low",0.156556367232155
"Pleaphase",6,15,1,1.41118247065027,0.14597588275744,45.8744962799323,"low",0.136256573356829
"Pleaphase",6,16,1,5.35536014126783,0.091297562789198,158.903867988153,"low",0.0873674128247808
"Pleaphase",6,17,1,0.810438847849689,0.197313034527166,75.6308759123751,"low",0.180079908282226
"Crystal",1,1,2,0.150567991631186,0.273396770315199,60.0129255839887,"low",0.241687952328684
"Crystal",1,2,2,1.24354633819721,0.12668892194146,82.9313280324074,"low",0.119283173834205
"Crystal",2,3,2,2.46412086844493,0.161889028029331,64.9526439021725,"low",0.150047153033881
"Crystal",2,4,2,1.56533682154464,0.117652768060264,199.999910089026,"low",0.111230743361624
"Crystal",2,5,2,2.39043692354812,0.119471892791528,107.270830064062,"low",0.112857049811187
"Crystal",3,6,2,0.803077358523739,0.156576708315959,80.3067758768731,"low",0.145464528475883
"Crystal",3,7,2,0.295583034352616,0.19745128212475,66.5301125439195,"low",0.180195366489763
"Crystal",3,8,2,0.119584420655864,0.385931276443483,49.4780207546849,"low",0.326372315442769
"Pleaphase",4,9,2,2.76187732079986,0.0995845996261857,182.526890514469,"low",0.0949324717781608
"Pleaphase",4,10,2,0.939328923714404,0.154466950937477,104.63772772914,"low",0.143638723103389
"Pleaphase",4,11,2,2.23343270518376,0.134808243208688,90.3005579100949,"low",0.126463687945112
"Pleaphase",5,12,2,2.64136134354723,0.129504699213289,92.4843393280874,"low",0.121779217353999
"Pleaphase",5,13,2,1.56230440211901,0.162528079892245,56.0219188489345,"low",0.15059701293367
"Pleaphase",5,14,2,2.02462086233298,0.142727155573183,93.6407096092324,"low",0.133417647282302
"Pleaphase",6,15,2,1.28081775474621,0.13964968029935,88.1672449256596,"low",0.130720917197678
"Pleaphase",6,16,2,4.95455850403871,0.0860930348492329,199.999924555399,"low",0.0825868852911464
"Pleaphase",6,17,2,3.79984165377556,0.0894840653359891,199.999421863122,"low",0.0857042496287518
"Crystal",1,1,3,2.84475402963497,0.115027237237892,75.30193719673,"low",0.108878832629769
"Crystal",1,2,3,1.42256659025888,0.141483476896123,75.0457819820527,"low",0.132328711978108
"Crystal",2,3,3,3.82468457648517,0.0983333349891474,147.364999671948,"low",0.0937938807939305
"Crystal",2,4,3,0.813615595842703,0.19370391141136,85.9432514874883,"low",0.177061003825692
"Crystal",2,5,3,2.66946447848495,0.117047457938582,90.1128011028607,"low",0.110689006148333
"Crystal",3,6,3,0.643790901880947,0.209230647890741,69.7251921865389,"low",0.189984329194712
"Crystal",3,7,3,0.190562245716508,0.207632910294938,64.0082805368405,"low",0.188662171124892
"Crystal",3,8,3,1.91717848878631,0.0997860956312352,126.902518304312,"low",0.0951157023777572
"Pleaphase",4,9,3,0.414253127209602,0.230782054322725,55.6076172255608,"low",0.20764978386118
"Pleaphase",4,10,3,1.46386453517056,0.181640490020475,60.1783677103452,"low",0.166903718760721
"Pleaphase",4,11,3,1.29412127193402,0.165446643511966,68.5639414549266,"low",0.15310439853323
"Pleaphase",5,12,3,4.47107108877994,0.129732607186159,73.6205450425587,"low",0.121980973914053
"Pleaphase",5,13,3,0.865309935430802,0.185532811180497,58.019219280029,"low",0.17019230322214
"Pleaphase",5,14,3,6.91977684691298,0.0845679792172942,199.99966633349,"low",0.0811817318627802
"Pleaphase",6,15,3,1.0171565672292,0.137210042371144,74.2475871529262,"low",0.128577931542864
"Pleaphase",6,16,3,3.9223922087499,0.0994212241145927,199.999961638955,"low",0.0947838814378081
