base,decision,label_id,area_px,label_path,note
0238_c23-2-2_26_1,accepted,1,10161,G:\Research\imageAnalysis\processed_segmentations\segs\0238_c23-2-2_26_1_Simple Segmentation_labels.png,
0066_c7-18-3_17_2,accepted,1,8566,G:\Research\imageAnalysis\processed_segmentations\segs\0066_c7-18-3_17_2_Simple Segmentation_labels.png,
0962_c36-72-4_01_1,accepted,1,8068,G:\Research\imageAnalysis\processed_segmentations\segs\0962_c36-72-4a_01_1_Simple Segmentation_labels.png,
1516_c7-18-3_15_2,accepted,1,7994,G:\Research\imageAnalysis\processed_segmentations\segs\1516_c7-18-3_15_2_Simple Segmentation_labels.png,
2299_p3-37-1_39_1,accepted,2,7798,G:\Research\imageAnalysis\processed_segmentations\segs\2299_p3-37-1_39_1_Simple Segmentation_labels.png,
1268_p36-42-2_18_1,accepted,1,7738,G:\Research\imageAnalysis\processed_segmentations\segs\1268_p36-42-2_18_1_Simple Segmentation_labels.png,
2468_p24-75-3_05_1,accepted,1,7655,G:\Research\imageAnalysis\processed_segmentations\segs\2468_p24-75-3_05_1_Simple Segmentation_labels.png,
2752_p24-26-5_15_1,accepted,1,7566,G:\Research\imageAnalysis\processed_segmentations\segs\2752_p24-26-5_15_1_Simple Segmentation_labels.png,
2069_p36-42-2_08_1,accepted,1,7538,G:\Research\imageAnalysis\processed_segmentations\segs\2069_p36-42-2_08_1_Simple Segmentation_labels.png,
1560_c7-19-2_38_1,accepted,1,7536,G:\Research\imageAnalysis\processed_segmentations\segs\1560_c7-19-2_38_1_Simple Segmentation_labels.png,
2456_p3-36-6_17_1,accepted,1,7535,G:\Research\imageAnalysis\processed_segmentations\segs\2456_p3-36-6_17_1_Simple Segmentation_labels.png,
0908_p36-39-1_22_1,accepted,1,7526,G:\Research\imageAnalysis\processed_segmentations\segs\0908_p36-39-1_22_1_Simple Segmentation_labels.png,
0564_c7-17-2_37_1,accepted,1,7524,G:\Research\imageAnalysis\processed_segmentations\segs\0564_c7-17-2_37_1_Simple Segmentation_labels.png,
1164_p36-39-3_04_1,accepted,1,7497,G:\Research\imageAnalysis\processed_segmentations\segs\1164_p36-39-3_04_1_Simple Segmentation_labels.png,
1032_p36-42-1_06_2,accepted,2,7457,G:\Research\imageAnalysis\processed_segmentations\segs\1032_p36-42-1_06_2_Simple Segmentation_labels.png,
0701_c36-72-2_27_2,accepted,1,7446,G:\Research\imageAnalysis\processed_segmentations\segs\0701_c36-72-2_27_2_Simple Segmentation_labels.png,
0577_p24-75-1_33_2,accepted,1,7387,G:\Research\imageAnalysis\processed_segmentations\segs\0577_p24-75-1_33_2_Simple Segmentation_labels.png,
