Plant ID Alpha,Plant ID Numeric,Band #,Date,start_date,leaf_age(days),Volume (mL),Color,Dead,ants,spiders,beetle,other prey,Mosquito,Stage 1,Stage 2,Stage 3,Stage 4,Midges,Snot,Mites,Notes,Rotifers,Bodo,Colpoda,Chrysomonads,Colpidium,Cryptomonads,Cyclidium,prot. Mites,nematode,Crab,Mushroom,Vorticella,Lot. Rotifer,Paramecium,Balloon,tripod,volvox,unknown protozoa,Tan,White,Orange,Purple,Yellow,Brown,Pink,Mold,Sheet (%),Cream,White Raised,Amoeba,Yellow Center,Dry Edge White,Dry White,Tan ring,Cream blob,Irregular orange,Yellow Glow,Tan Center,White Ring,Salmon,White Center,Wet White,dry yellow glow,Cauliflower,Dry Center Tan,Wet Yellow,Unclear White,Egg,Irregular white,Tan Dry Edge,Dry Pink,Dark Brown,Dry Tan,Dry Yellow,Dry White,Tan White Center,Irregular Brown,Dry Orange,Brown Blob,White and Pink,Brick,Gray and White,gray center,Cream Raised Center,purple-gray ring,total ciolonies,log colonies,log Bodo,log Chryso,log Rotifer,log Colpidium
A,1,1079,9/8/2004,9/8/2004,0,10,milky,"33, 1 spider",33,1,0,,13,0,4,7,2,1,0,0,switched to this leaf b/c B3 1075 had hole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,600,0,7300,0,0,0,0,0,2 total 5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7900,8.974744613,0,0,0,0
A,1,1079,9/22/2004,9/8/2004,14,10,milky,30,30,0,0,,3,0,0,2,1,5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,38600,0,0,0,0,0,0,0,2 total 5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,38600,10.56103346,0,0,0,0
A,1,1079,10/6/2004,9/8/2004,28,9,clear,4,4,0,0,,6,0,1,4,1,4,0,0,some parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,600,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,4200,8.343077871,0,0,0,0
A,1,1079,10/20/2004,9/8/2004,42,11,clear,1,1,0,0,,6,0,1,1,4,3,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,154,0,0,0,0,0,0,0,15 tot 20%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,154,5.043425117,0,0,0,0
A,1,1079,11/3/2004,9/8/2004,56,9,clear,1,1,0,0,,5,0,0,1,4,13,0,1,some parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,0,0,0,100,3,0,0,1 tot 8%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,127,4.852030264,0,0,0,0
A,1,1079,11/17/2004,9/8/2004,70,8,clear,0,0,0,0,,2,0,0,0,2,5,0,0,some parts,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,3 tot 15%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,141,4.955827058,0,0,1.098612289,0
A,1,1079,12/1/2004,9/8/2004,84,11.5,clear,0,0,0,0,,6,0,0,2,4,11,0,0,some parts,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,2.772588722,0,0,0.693147181,0
A,1,1079,12/15/2004,9/8/2004,98,10,clear,0,0,0,0,,5,0,0,2,3,5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,7 tot 20%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,2.079441542,0,0,0,0
A,1,1079,12/29/2004,9/8/2004,112,10,clear,0,0,0,0,,4,0,0,1,3,4,0,0,range midges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,5 tot 18%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,2.708050201,0,0,0,0
A,1,1079,1/10/2005,9/8/2004,124,9,clear,0,0,0,0,,4,0,0,1,3,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,39,0,0,0,0,0,4 tot 8%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,95,4.564348191,0,0,0,0
A,1,1079,1/26/2005,9/8/2004,140,9,clear,0,0,0,0,,4,0,0,1,3,1,0,0,,1,1,0,14,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,224,14,0,0,0,0,0,19 tot 20%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,242,5.493061443,0.693147181,2.708050201,0.693147181,0
A,1,1079,2/9/2005,9/8/2004,154,10,clear,0,0,0,0,,4,0,0,1,3,6,0,0,,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,85,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,5.398162702,1.791759469,0,0,0
A,1,1079,2/23/2005,9/8/2004,168,8.5,clear,0,0,0,0,,4,0,0,1,3,5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,13,0,0,0,0,1,4 tot 15%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4.094344562,0,0,0,0
A,1,1079,3/9/2005,9/8/2004,182,12,clear,0,0,0,0,,15,0,0,0,4,6,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,2,0,0,0,0,0,2 tot 4%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,2.944438979,0,0,0,0
A,1,1079,3/23/2005,9/8/2004,196,11,clear,0,0,0,0,,4,0,0,1,3,7,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,0,0,0,0,0,2 tot 5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,3.091042453,0,1.098612289,0,0
