clone,meanR,meanK,mean_logK,mean_logR
1,0.185,63.490,4.087,-1.777
2,0.198,70.041,4.147,-1.762
3,0.224,76.915,4.239,-1.644
4,0.187,82.642,4.411,-1.677
5,0.235,75.440,4.274,-1.650
6,0.262,58.356,4.016,-1.409
7,0.235,68.899,4.231,-1.561
8,0.201,101.936,4.503,-1.834
9,0.124,93.179,4.430,-2.169
10,0.237,73.852,4.228,-1.607
11,0.146,89.699,4.405,-2.010
12,0.149,77.931,4.343,-1.915
13,0.234,55.383,4.014,-1.483
14,0.222,73.497,4.205,-1.710
15,0.121,85.780,4.401,-2.144
16,0.191,115.386,4.672,-1.815
17,0.179,71.371,4.204,-1.790
