"day","evolvedTemp","currentTemp","competition","species","treatID","repNum","repID","singlePass","fullSlide","passConvert","count","hour"
0,"25","25","FALSE","protist","HP","1","E",NA,13,0,13,0
0,"25","30","FALSE","protist","NP","1","F",NA,20,0,20,0
0,"25","25","TRUE","protist","E25HRP","1","G",NA,15,0,15,0
0,"25","30","TRUE","protist","E25NRP","1","H",NA,6,0,6,0
0,"30","30","TRUE","protist","E30HRP","1","I",NA,12,0,12,0
0,"30","25","TRUE","protist","E30NRP","1","J",NA,7,0,7,0
0,"25","25","FALSE","protist","HP","2","E",NA,15,0,15,0
0,"25","30","FALSE","protist","NP","2","F",NA,11,0,11,0
0,"25","25","TRUE","protist","E25HRP","2","G",NA,11,0,11,0
0,"25","30","TRUE","protist","E25NRP","2","H",NA,17,0,17,0
0,"30","30","TRUE","protist","E30HRP","2","I",NA,16,0,16,0
0,"30","25","TRUE","protist","E30NRP","2","J",NA,12,0,12,0
0,"25","25","FALSE","protist","HP","3","E",NA,12,0,12,0
0,"25","30","FALSE","protist","NP","3","F",NA,7,0,7,0
0,"25","25","TRUE","protist","E25HRP","3","G",NA,19,0,19,0
0,"25","30","TRUE","protist","E25NRP","3","H",NA,19,0,19,0
0,"30","30","TRUE","protist","E30HRP","3","I",NA,20,0,20,0
0,"30","25","TRUE","protist","E30NRP","3","J",NA,17,0,17,0
0,"25","25","FALSE","protist","HP","4","E",NA,9,0,9,0
0,"25","30","FALSE","protist","NP","4","F",NA,17,0,17,0
0,"25","25","TRUE","protist","E25HRP","4","G",NA,17,0,17,0
0,"25","30","TRUE","protist","E25NRP","4","H",NA,18,0,18,0
0,"30","30","TRUE","protist","E30HRP","4","I",NA,14,0,14,0
0,"30","25","TRUE","protist","E30NRP","4","J",NA,8,0,8,0
0,"25","25","FALSE","protist","HP","5","E",NA,13,0,13,0
0,"25","30","FALSE","protist","NP","5","F",NA,15,0,15,0
0,"25","25","TRUE","protist","E25HRP","5","G",NA,10,0,10,0
0,"25","30","TRUE","protist","E25NRP","5","H",NA,12,0,12,0
0,"30","30","TRUE","protist","E30HRP","5","I",NA,15,0,15,0
0,"30","25","TRUE","protist","E30NRP","5","J",NA,17,0,17,0
0,"25","25","FALSE","protist","HP","6","E",NA,9,0,9,0
0,"25","30","FALSE","protist","NP","6","F",NA,15,0,15,0
0,"25","25","TRUE","protist","E25HRP","6","G",NA,17,0,17,0
0,"25","30","TRUE","protist","E25NRP","6","H",NA,31,0,31,0
0,"30","30","TRUE","protist","E30HRP","6","I",NA,20,0,20,0
0,"30","25","TRUE","protist","E30NRP","6","J",NA,17,0,17,0
0,"25","25","FALSE","protist","HP","7","E",NA,17,0,17,0
0,"25","30","FALSE","protist","NP","7","F",NA,23,0,23,0
0,"25","25","TRUE","protist","E25HRP","7","G",NA,14,0,14,0
0,"25","30","TRUE","protist","E25NRP","7","H",NA,30,0,30,0
0,"30","30","TRUE","protist","E30HRP","7","I",NA,20,0,20,0
0,"30","25","TRUE","protist","E30NRP","7","J",NA,20,0,20,0
0,"25","25","FALSE","protist","HP","8","E",NA,18,0,18,0
0,"25","30","FALSE","protist","NP","8","F",NA,28,0,28,0
0,"25","25","TRUE","protist","E25HRP","8","G",NA,10,0,10,0
0,"25","30","TRUE","protist","E25NRP","8","H",NA,15,0,15,0
0,"30","30","TRUE","protist","E30HRP","8","I",NA,17,0,17,0
0,"30","25","TRUE","protist","E30NRP","8","J",NA,18,0,18,0
0,"25","25","FALSE","protist","HP","9","E",NA,29,0,29,0
0,"25","30","FALSE","protist","NP","9","F",NA,16,0,16,0
0,"25","25","TRUE","protist","E25HRP","9","G",NA,14,0,14,0
0,"25","30","TRUE","protist","E25NRP","9","H",NA,9,0,9,0
0,"30","30","TRUE","protist","E30HRP","9","I",NA,12,0,12,0
0,"30","25","TRUE","protist","E30NRP","9","J",NA,17,0,17,0
0,"25","25","FALSE","protist","HP","10","E",NA,17,0,17,0
0,"25","30","FALSE","protist","NP","10","F",NA,17,0,17,0
0,"25","25","TRUE","protist","E25HRP","10","G",NA,11,0,11,0
0,"25","30","TRUE","protist","E25NRP","10","H",NA,29,0,29,0
0,"30","30","TRUE","protist","E30HRP","10","I",NA,24,0,24,0
0,"30","25","TRUE","protist","E30NRP","10","J",NA,13,0,13,0
0.5,"25","25","FALSE","protist","HP","1","E",NA,32,0,32,12
0.5,"25","30","FALSE","protist","NP","1","F",21,NA,142.8,142.8,12
0.5,"25","25","TRUE","protist","E25HRP","1","G",NA,60,0,60,12
0.5,"25","30","TRUE","protist","E25NRP","1","H",NA,129,0,129,12
0.5,"30","30","TRUE","protist","E30HRP","1","I",52,NA,353.6,353.6,12
0.5,"30","25","TRUE","protist","E30NRP","1","J",NA,51,0,51,12
0.5,"25","25","FALSE","protist","HP","2","E",NA,44,0,44,12
0.5,"25","30","FALSE","protist","NP","2","F",NA,129,0,129,12
0.5,"25","25","TRUE","protist","E25HRP","2","G",NA,61,0,61,12
0.5,"25","30","TRUE","protist","E25NRP","2","H",31,NA,210.8,210.8,12
0.5,"30","30","TRUE","protist","E30HRP","2","I",41,NA,278.8,278.8,12
0.5,"30","25","TRUE","protist","E30NRP","2","J",13,NA,88.4,88.4,12
0.5,"25","25","FALSE","protist","HP","3","E",NA,35,0,35,12
0.5,"25","30","FALSE","protist","NP","3","F",34,NA,231.2,231.2,12
0.5,"25","25","TRUE","protist","E25HRP","3","G",NA,51,0,51,12
0.5,"25","30","TRUE","protist","E25NRP","3","H",38,NA,258.4,258.4,12
0.5,"30","30","TRUE","protist","E30HRP","3","I",38,NA,258.4,258.4,12
0.5,"30","25","TRUE","protist","E30NRP","3","J",25,NA,170,170,12
0.5,"25","25","FALSE","protist","HP","4","E",6,NA,40.8,40.8,12
0.5,"25","30","FALSE","protist","NP","4","F",12,NA,81.6,81.6,12
0.5,"25","25","TRUE","protist","E25HRP","4","G",29,NA,197.2,197.2,12
0.5,"25","30","TRUE","protist","E25NRP","4","H",39,NA,265.2,265.2,12
0.5,"30","30","TRUE","protist","E30HRP","4","I",39,NA,265.2,265.2,12
0.5,"30","25","TRUE","protist","E30NRP","4","J",27,NA,183.6,183.6,12
0.5,"25","25","FALSE","protist","HP","5","E",11,NA,74.8,74.8,12
0.5,"25","30","FALSE","protist","NP","5","F",19,NA,129.2,129.2,12
0.5,"25","25","TRUE","protist","E25HRP","5","G",12,NA,81.6,81.6,12
0.5,"25","30","TRUE","protist","E25NRP","5","H",26,NA,176.8,176.8,12
0.5,"30","30","TRUE","protist","E30HRP","5","I",37,NA,251.6,251.6,12
0.5,"30","25","TRUE","protist","E30NRP","5","J",24,NA,163.2,163.2,12
0.5,"25","25","FALSE","protist","HP","6","E",7,NA,47.6,47.6,12
0.5,"25","30","FALSE","protist","NP","6","F",6,NA,40.8,40.8,12
0.5,"25","25","TRUE","protist","E25HRP","6","G",9,NA,61.2,61.2,12
0.5,"25","30","TRUE","protist","E25NRP","6","H",23,NA,156.4,156.4,12
0.5,"30","30","TRUE","protist","E30HRP","6","I",22,NA,149.6,149.6,12
0.5,"30","25","TRUE","protist","E30NRP","6","J",10,NA,68,68,12
0.5,"25","25","FALSE","protist","HP","7","E",16,NA,108.8,108.8,12
0.5,"25","30","FALSE","protist","NP","7","F",21,NA,142.8,142.8,12
0.5,"25","25","TRUE","protist","E25HRP","7","G",21,NA,142.8,142.8,12
0.5,"25","30","TRUE","protist","E25NRP","7","H",50,NA,340,340,12
0.5,"30","30","TRUE","protist","E30HRP","7","I",38,NA,258.4,258.4,12
0.5,"30","25","TRUE","protist","E30NRP","7","J",37,NA,251.6,251.6,12
0.5,"25","25","FALSE","protist","HP","8","E",8,NA,54.4,54.4,12
0.5,"25","30","FALSE","protist","NP","8","F",21,NA,142.8,142.8,12
0.5,"25","25","TRUE","protist","E25HRP","8","G",21,NA,142.8,142.8,12
0.5,"25","30","TRUE","protist","E25NRP","8","H",44,NA,299.2,299.2,12
0.5,"30","30","TRUE","protist","E30HRP","8","I",43,NA,292.4,292.4,12
0.5,"30","25","TRUE","protist","E30NRP","8","J",14,NA,95.2,95.2,12
0.5,"25","25","FALSE","protist","HP","9","E",10,NA,68,68,12
0.5,"25","30","FALSE","protist","NP","9","F",33,NA,224.4,224.4,12
0.5,"25","25","TRUE","protist","E25HRP","9","G",50,NA,340,340,12
0.5,"25","30","TRUE","protist","E25NRP","9","H",42,NA,285.6,285.6,12
0.5,"30","30","TRUE","protist","E30HRP","9","I",44,NA,299.2,299.2,12
0.5,"30","25","TRUE","protist","E30NRP","9","J",30,NA,204,204,12
0.5,"25","25","FALSE","protist","HP","10","E",18,NA,122.4,122.4,12
0.5,"25","30","FALSE","protist","NP","10","F",51,NA,346.8,346.8,12
0.5,"25","25","TRUE","protist","E25HRP","10","G",18,NA,122.4,122.4,12
0.5,"25","30","TRUE","protist","E25NRP","10","H",35,NA,238,238,12
0.5,"30","30","TRUE","protist","E30HRP","10","I",67,NA,455.6,455.6,12
0.5,"30","25","TRUE","protist","E30NRP","10","J",15,NA,102,102,12
0.75,"25","25","FALSE","protist","HP","1","E",22,NA,149.6,149.6,18
0.75,"25","30","FALSE","protist","NP","1","F",30,NA,204,204,18
0.75,"25","25","TRUE","protist","E25HRP","1","G",31,NA,210.8,210.8,18
0.75,"25","30","TRUE","protist","E25NRP","1","H",46,NA,312.8,312.8,18
0.75,"30","30","TRUE","protist","E30HRP","1","I",58,NA,394.4,394.4,18
0.75,"30","25","TRUE","protist","E30NRP","1","J",15,NA,102,102,18
0.75,"25","25","FALSE","protist","HP","2","E",12,NA,81.6,81.6,18
0.75,"25","30","FALSE","protist","NP","2","F",62,NA,421.6,421.6,18
0.75,"25","25","TRUE","protist","E25HRP","2","G",28,NA,190.4,190.4,18
0.75,"25","30","TRUE","protist","E25NRP","2","H",39,NA,265.2,265.2,18
0.75,"30","30","TRUE","protist","E30HRP","2","I",16,NA,108.8,108.8,18
0.75,"30","25","TRUE","protist","E30NRP","2","J",20,NA,136,136,18
0.75,"25","25","FALSE","protist","HP","3","E",7,NA,47.6,47.6,18
